Label,Content
spam,PRIVATE your 2004 account statement for 07742676969 shows 786 unredeemed bonus points to claim call 08719180248 identifier code 45239 expires
spam,URGENT your mobile no was awarded å 2000 bonus caller prize on 5 9 03 this is our final try to contact U call from landline 09064019788 BOX42WR29C 150PPM
ham,here is my new address apples pairs all that malarky
spam,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao mu today will be done only at 12
ham,ÌÏ predict wat time Ì ll finish buying
ham,good stuff will do
ham,just so that you know yetunde hasn t sent money yet I just sent her a text not to bother sending so its over you dont have to involve yourself in anything I shouldn t have imposed anything on you in the first place so for that i apologise
ham,are you there in room
ham,HEY GIRL HOW R U HOPE U R WELL ME AN DEL R BAK AGAIN LONG TIME NO C GIVE ME A CALL SUM TIME FROM lucyxx
ham,K PUNCT k how much does it cost
ham,I m home
ham,dear will call tmorrowpls accomodate
ham,first answer my question
spam,sunshine quiz wkly Q win a top sony DVD player if u know which country the algarve is in txt ansr to 82277 å 150 SP tyrone
spam,want 2 get laid tonight want real dogging locations sent direct 2 ur mob join the UK s largest dogging network bt txting GRAVEL to 69888 nt ec2a 31pmsg 150p
ham,I only haf msn it s yijue hotmailcom
ham,he is there you call and meet him
ham,no no I will check all rooms befor activities
spam,you ll not rcv any more msgs from the chat svc for FREE hardcore services text GO to 69988 if u get nothing u must age verify with yr network try again
ham,got c PUNCT I lazy to type PUNCT I forgot Ì in lect PUNCT I saw a pouch but like not v nice PUNCT 
ham,K text me when you re on the way
ham,sir waiting for your mail
ham,A swt thought nver get tired of doing little things 4 lovable persons PUNCT coz PUNCT somtimes those little things occupy d biggest part in their hearts PUNCT gud ni8 
ham,I know you are can you pls open the back
ham,yes see ya not on the dot
ham,whats the staff name who is taking class for us
spam,freemsg why haven t you replied to my text I m randy sexy female and live local luv to hear from u netcollex ltd 08700621170150p per msg reply stop to end
ham,ummmawill call after check inour life will begin from qatar so pls pray very hard
ham,K PUNCT i deleted my contact that why
ham,sindu got job in birla soft PUNCT 
ham,the wine is flowing and i m i have nevering PUNCT 
ham,yup i thk cine is better cos no need 2 go down 2 plaza mah
ham,ok PUNCT ur typical reply PUNCT 
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press 9 to copy your friends callertune
ham,you are everywhere dirt on the floor the windows even on my shirt and sometimes when i open my mouth you are all that comes flowing out I dream of my world without you then half my chores are out too A time of joy for me lots of tv shows ill see but i guess like all things you just must exist like rain hail and mist and when my time here is done you and i become one
ham,aaooooright are you at work
ham,I m leaving my house now PUNCT 
ham,hello my love what are you doing did you get to that interview today are you you happy are you being a good boy do you think of meAre you missing me 
spam,customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery
spam,you are a winner U have been specially selected 2 receive å 1000 cash or a 4 holiday flights inc speak to a live operator 2 claim 0871277810810
ham,keep yourself safe for me because I need you and I miss you already and I envy everyone that see s you in real life
ham,new car and house for my parents i have only new job in hand 
ham,I m so in love with you I m excited each day i spend with you you make me so happy
spam, PLS STOP bootydelious 32 F is inviting you to be her friend reply YES 434 or NO 434 see her wwwSMSac u bootydelious STOP send STOP FRND to 62468
spam,bangbabes ur order is on the way U SHOULD receive a service msg 2 download UR content if U do not goto wap bangb tv on UR mobile internet service menu
ham,I place all ur points on e cultures module already
spam,URGENT we are trying to contact you last weekends draw shows that you have won a å 900 prize GUARANTEED call 09061701939 claim code S89 valid 12hrs only
ham,hi frnd which is best way to avoid missunderstding wit our beloved one s
ham,great escape I fancy the bridge but needs her lager see you tomo
ham,yes it completely in out of form clark also utter waste
ham,sir I need AXIS BANK account no and bank address
ham,hmmm PUNCT thk sure got time to hop ard PUNCT ya can go 4 free abt PUNCT muz call u to discuss liao PUNCT 
ham,what time you coming down later
ham,bloody hell cant believe you forgot my surname mr ill give u a clue its spanish and begins with m PUNCT 
ham,well i m gonna finish my bath now have a good PUNCT fine night
ham,let me know when you ve got the money so carlos can make the call
ham,U still going to the mall
ham,turns out my friends are staying for the whole show and won t be back til lt gt so feel free to go ahead and smoke that lt gt worth
ham,text her if she doesnt reply let me know so i can have her log in
ham,hi you just spoke to MANEESHA V we d like to know if you were satisfied with the experience reply toll free with yes or no
ham,you lifted my hopes with the offer of money I am in need especially when the end of the month approaches and it hurts my studying anyways have a gr8 weekend
ham,lol no U can trust me
ham,ok I am a gentleman and will treat you with dignity and respect
ham,he will you guys close
ham,going on nothing greatbye
ham,hello handsome are you finding that job not being lazy working towards getting back that net for mummy where s my boytoy now does he miss me 
ham,haha awesome be there in a minute
spam,please call our customer service representative on FREEPHONE 0808 145 4742 between 9am 11pm as you have WON a guaranteed å 1000 cash or å 5000 prize
ham,have you got xmas radio times if not i will get it now
ham,I jus reached home I go bathe first but my sis using net tell u when she finishes k PUNCT 
spam,are you unique enough find out from 30th august wwwareyouuniquecouk
ham,I m sorry I ve joined the league of people that dont keep in touch you mean a great deal to me you have been a friend at all times even at great personal cost do have a great week 
ham,hi finally i completed the course 
ham,it will stop on itself I however suggest she stays with someone that will be able to give ors for every stool
ham,how are you doing hope you ve settled in for the new school year just wishin you a gr8 day
ham,gud mrng dear hav a nice day
ham,did u got that persons story
ham,is your hamster dead hey so tmr i meet you at 1pm orchard mrt
ham,hi its kate how is your evening I hope i can see you tomorrow for a bit but i have to bloody babyjontet txt back if u can xxx
ham,found it ENC lt gt where you at
ham,I sent you lt gt bucks
ham,hello darlin ive finished college now so txt me when u finish if u can love kate xxx
ham,your account has been refilled successfully by INR lt DECIMAL gt your keralacircle prepaid account balance is rs lt DECIMAL gt your transaction ID is KR lt gt 
ham,goodmorning sleeping ga
ham,U call me alter at 11 ok
ham,ÌÏ say until like dat i dun buy ericsson oso cannot oredi lar PUNCT 
ham,as I entered my cabin my PA said happy B day boss PUNCT I felt special she askd me 4 lunch after lunch she invited me to her apartment we went there
ham,aight yo dats straight dogg
ham,you please give us connection today itself before lt DECIMAL gt or refund the bill
ham,both i shoot big loads so get ready
ham,what s up bruv hope you had a great break do have a rewarding semester
ham,home so we can always chat
ham,K k good study well
ham,yup PUNCT how Ì noe leh PUNCT 
ham,sounds great are you home now
ham,finally the match heading towards draw as your prediction
ham,tired I haven t slept well the past few nights
ham,easy ahsen got selected means its good PUNCT 
ham,I have to take exam with march 3
ham,yeah you should I think you can use your gt atm now to register not sure but if there s anyway i can help let me know but when you do be sure you are ready
ham,ok no prob take ur time
ham,there is os called ubandu which will run without installing in hard disk PUNCT you can use that os to copy the important files in system and give it to repair shop PUNCT 
ham,sorry I ll call later
ham,U say leh PUNCT of course nothing happen lar not say v romantic jus a bit only lor I thk e nite scenery not so nice leh
spam,500 new mobiles from 2004 MUST GO txt NOKIA to no 89545 collect yours todayFrom ONLY å 1 www4 tcbiz 2optout 08718726270150gbp mtmsg18
ham,would really appreciate if you call me just need someone to talk to
spam,will u meet ur dream partner soon is ur career off 2 a flyng start 2 find out free txt HORO followed by ur star sign e g HORO ARIES
ham,hey company elama po mudyadhu
ham,life is more strict than teacher PUNCT bcoz teacher teaches lesson amp then conducts exam but life first conducts exam amp then teaches lessons happy morning 
ham,dear good morning now only i am up
ham,get down in gandhipuram and walk to cross cut road right side lt gt street road and turn at first right
ham,dear we are going to our rubber place
ham,sorry battery died yeah I m here
ham,yes here tv is always available in work place PUNCT 
spam,text meet someone sexy today U can find a date or even flirt its up to U join 4 just 10p REPLY with NAME AGE eg sam 25 18 msg recd thirtyeight pence
ham,I have printed it oh so lt gt come upstairs
ham,or ill be a little closer like at the bus stop on the same street
ham,where are youwhen wil you reach here
ham,new theory argument wins d SITUATION but loses the PERSON so dont argue with ur friends just PUNCT kick them amp say I m always correct PUNCT 
spam,U 447801259231 have a secret admirer who is looking 2 make contact with U find out who they R reveal who thinks UR so special call on 09058094597
ham,tomarrow final hearing on my laptop case so i cant
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE sportsx
ham,okay no no just shining on that was meant to be signing but that sounds better
ham,although i told u dat i m into baig face watches now but i really like e watch u gave cos it s fr u thanx 4 everything dat u ve done today i m touched PUNCT 
ham,U don t remember that old commercial
ham,too late I said i have the website I didn t i have or dont have the slippers
ham,I asked you to call him now ok
ham,kallis wont bat in 2nd innings
ham,it didnt work again oh ok goodnight then ill fix and have it ready by the time you wake up you are very dearly missed have a good night sleep
spam,congratulations ur awarded 500 of CD vouchers or 125gift guaranteed free entry 2 100 wkly draw txt MUSIC to 87066 tncs wwwLdewcom1win150ppmx3age16
ham,ranjith cal drpd deeraj and deepak 5min hold
ham,wen ur lovable bcums angry wid u dnt take it seriously PUNCT coz being angry is d most childish n true way of showing deep affection care n luv PUNCT kettoda manda PUNCT have nice day da
ham,what you doinghow are you
ham,ups which is 3days also and the shipping company that takes 2wks the other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff
ham,I m back lemme know when you re ready
ham,don t necessarily expect it to be done before you get back though because I m just now headin out
ham,mmm so yummy babe PUNCT nice jolt to the suzy
ham,where are you lover I need you PUNCT 
spam,we tried to contact you re your reply to our offer of a video handset 750 anytime networks mins UNLIMITED TEXT camcorder reply or call 08000930705 NOW
ham,I Û m parked next to a MINI PUNCT when are you coming in today do you think
ham,yup
ham,anyway i m going shopping on my own now cos my sis not done yet dun disturb u liao
ham,MY NO IN LUTON 0125698789 RING ME IF UR AROUND H 
spam,hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,why you dint come with us
ham,same wana plan a trip sometme then
ham,not sure yet still trying to get a hold of him
spam,ur ringtone service has changed 25 free credits go to club4mobilescom to choose content now stop txt CLUB STOP to 87070 150p wk Club4 PO Box1146 MK45 2WT
ham,the evo I just had to download flash jealous
spam,ringtone club get the UK singles chart on your mobile each week and choose any top quality ringtone this message is free of charge
ham,come to mu we re sorting out our narcotics situation
ham,night has ended for another day morning has come in a special way may you smile like the sunny rays and leaves your worries at the blue blue bay
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won just answer 4 easy questions play now send HMV to 86688 more info www100percent realcom
ham,usf I guess might as well take 1 car
ham,no objection my bf not coming
ham,thanx PUNCT 
ham,tell rob to mack his gf in the theater
ham,awesome I ll see you in a bit
ham,just sent it so what type of food do you like
ham,all done all handed in celebrations in full swing yet
ham,you got called a tool
ham, wen u miss someone
ham,ok I asked for money how far
ham,okie PUNCT 
ham,yeah I think my usual guy s still passed out from last night if you get ahold of anybody let me know and I ll throw down
ham,K I might come by tonight then if my class lets out early
ham,ok PUNCT 
ham,hi baby im cruisin with my girl friend what r u up 2 give me a call in and hour at home if thats alright or fone me on this fone now love jenny xxx
ham,my life means a lot to me not because I love my life but because I love the people in my life the world calls them friends I call them my world PUNCT ge PUNCT 
ham,dear shall mail tonitebusy in the street shall update you tonitethings are looking okvarunnathu edukkukayee raksha ollubut a good one in real sense
ham,hey you told your name to gautham ah
ham,haf u found him I feel so stupid da v cam was working
ham,oops 4 got that bit
ham,are you this much buzy
ham,I accidentally deleted the message resend please
spam,T mobile customer you may now claim your FREE CAMERA PHONE upgrade a pay go sim card for your loyalty call on 0845 021 3680Offer ends 28thFebT C s apply
ham,unless it s a situation where YOU GO GURL would be more appropriate
ham,hurt me PUNCT tease me PUNCT make me cry PUNCT but in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U PUNCT HAVE A NICE DAY BSLVYL
ham,I cant pick the phone right now pls send a message
ham,need a coffee run tomoCan t believe it s that time of week already
ham,awesome I remember the last time we got somebody high for the first time with diesel V
ham,shit that is really shocking and scary cant imagine for a second def up for night out do u think there is somewhere i could crash for night save on taxi
ham,oh and by the way you do have more food in your fridge want to go out for a meal tonight
ham,he is a womdarfull actor
spam,SMS ac blind date 4U Rodds1 is 21 m from aberdeen united kingdom check him out http img sms ac W icmb3cktz8r7 4 no blind dates send HIDE
ham,yup PUNCT from what i remb PUNCT I think should be can book PUNCT 
ham,jos ask if u wana meet up
ham,lol yes our friendship is hanging on a thread cause u won t buy stuff
spam,themob check out our newest selection of content games tones gossip babes and sport keep your mobile fit and funky text WAP to 82468
ham,where are the garage keys they aren t on the bookshelf
ham,today is ACCEPT DAY PUNCT U accept me as brother sister lover Dear1 Best1 Clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
spam,think ur smart win å 200 this week in our weekly quiz text PLAY to 85222 nowT cs winnersclub PO BOX 84 M26 3UZ 16 GBP150 week
ham,he says he ll give me a call when his friend s got the money but that he s definitely buying before the end of the week
ham,hi the way I was with u 2day is the normal way this is the real me UR unique I hope I know u 4 the rest of mylife hope u find wot was lost
ham,you made my day do have a great day too
ham,kk advance happy pongal
ham,hmmm PUNCT guess we can go 4 kb n power yoga PUNCT haha dunno we can tahan power yoga anot PUNCT thk got lo oso forgot liao PUNCT 
ham,not really dude have no friends i m afraid 
spam,december only had your mobile 11mths you are entitled to update to the latest colour camera mobile for free call the mobile update co FREE on 08002986906
ham,coffee cake i guess PUNCT 
ham,merry christmas to you too babe i love ya kisses 
ham,hey PUNCT why dont we just go watch x men and have lunch PUNCT haha
ham,cud u tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full im still waitin 4 1 pete x
ham,that would be great we ll be at the guild could meet on bristol road or somewhere will get in touch over weekend our plans take flight have a good week
ham,no problem how are you doing
ham,no calls PUNCT messages PUNCT missed calls
ham,hi da how is the todays class
ham,I d say that s a good sign but well you know my track record at reading women
ham,cool text me when you re parked
ham,I m reading the text i just sent you its meant to be a joke so read it in that light
ham,kk apo kgood movie
ham,maybe i could get book out tomo then return it immediately PUNCT or something
spam,call germany for only 1 pence per minute call from a fixed line via access number 0844 861 85 85 no prepayment direct access
ham,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again or I will report you to your supervisor
spam,valentines day special win over å 1000 in our quiz and take your partner on the trip of a lifetime send GO to 83600 now 150p msg rcvd custcare 08718720201
ham,ta daaaaa I am home babe are you still up 
ham,cool so how come you havent been wined and dined before
ham,just sleeping PUNCT and surfing
ham,sorry I ll call later
ham,U calling me right call my hand phone PUNCT 
ham,ok that s great thanx a lot
ham,I take it the post has come then you must have 1000s of texts now happy reading my one from wiv hello caroline at the end is my favourite bless him
ham,where u been hiding stranger
ham,am not interested to do like that
ham,my sister cleared two round in birla soft yesterday
ham,gudnite PUNCT tc PUNCT practice going on
ham,dis is yijue I jus saw ur mail in case huiming havent sent u my num dis is my num
ham,one small prestige problem now
spam,fancy a shag I doInterested sextextukcom txt XXUK SUZY to 69876 txts cost 150 per msg tncs on website X
ham,just checking in on you really do miss seeing jeremiah do have a great month
ham,nah can t help you there I ve never had an iphone
ham,if you re not in my car in an hour and a half I m going apeshit
ham,TODAY is sorry day PUNCT if ever i was angry with you if ever i misbehaved or hurt you plz plz JUST SLAP URSELF bcoz its ur fault I m basically GOOD
ham,yo you guys ever figure out how much we need for alcohol jay and I are trying to figure out how much we can safely spend on weed
ham, lt gt ISH MINUTES WAS 5 MINUTES AGO WTF
ham,thank you for callingForgot to say happy onam to you sirjii am fine here and remembered you when i met an insurance personMeet you in qatar insha allahrakhesh ex tata AIG who joined TISSCO tayseer
spam,congratulations ur awarded 500 of CD vouchers or 125gift guaranteed free entry 2 100 wkly draw txt MUSIC to 87066 tncs wwwLdewcom1win150ppmx3age16
spam,ur cash balance is currently 500 pounds to maximize ur cash in now send CASH to 86688 only 150p msg CC 08708800282 HG Suite342 2Lands row W1J6HL
ham,I m an actor when i work i work in the evening and sleep late since i m unemployed at the moment i ALWAYS sleep late when you re unemployed every day is saturday
ham,hello just got here st andrews boy its a long way its cold I will keep you posted
ham,ha ha cool cool chikku chikku DB 
ham,oh ok no prob PUNCT 
ham,check audrey s status right now
ham,busy here trying to finish for new year I am looking forward to finally meeting you PUNCT 
ham,good afternoon sunshine how dawns that day are we refreshed and happy to be alive do we breathe in the air and smile I think of you my love PUNCT as always
ham,well i know Z will take care of me so no worries
spam,update now xmas offer latest motorola sonyericsson nokia FREE bluetooth double mins 1000 txt on orange call MobileUpd8 on 08000839402 or call2optout F4Q 
spam,here is your discount code RP176781 to stop further messages reply stop wwwregalportfoliocouk customer services 08717205546
ham,wat uniform in where get
ham,cool text me when you re ready
ham,hello my boytoy PUNCT geeee I miss you already and I just woke up I wish you were here in bed with me cuddling me I love you PUNCT 
ham,I will spoil you in bed as well 
ham,I m going for bath will msg you next lt gt min PUNCT 
ham,I cant keep talking to people if am not sure i can pay them if they agree to price so pls tell me what you want to really buy and how much you are willing to pay
spam,thanks for your ringtone order reference T91 you will be charged GBP 4 per week you can unsubscribe at anytime by calling customer services on 09057039994
ham,can you say what happen
ham,you could have seen me PUNCT i did t recognise you face 
ham,well there s not a lot of things happening in lindsay on new years sighs some bars in ptbo and the blue heron has something going
ham,keep my payasam there if rinu brings
ham,I taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me PUNCT 
ham,I guess that s why you re worried you must know that there s a way the body repairs itself and i m quite sure you shouldn t worry we ll take it slow first the tests they will guide when your ovulation is then just relax nothing you ve said is a reason to worry but ill keep on followin you up
ham,yeah sure give me a couple minutes to track down my wallet
ham,hey leave it not a big deal take care
ham,hey i will be late ah PUNCT meet you at 945 
spam,double mins and txts 4 6months FREE bluetooth on orange available on sony nokia motorola phones call MobileUpd8 on 08000839402 or call2optout N9DX
ham,it took mr owl 3 licks
ham,customer place i will call you
ham,mm that time you dont like fun
spam,4mths half price orange line rental latest camera phones 4 FREE had your phone 11mths call mobilesdirect free on 08000938767 to update now or2stoptxt
ham,yup having my lunch buffet now PUNCT U eat already
ham,huh so late PUNCT fr dinner
ham,hey so this sat are we going for the intro pilates only or the kickboxing too
ham,morning only i can ok
ham,yes i think so I am in office but my lap is in room i think thats on for the last few days I didnt shut that down
ham,pick you up bout 730ish what time are and that going
ham,from here after the performance award is calculated every two monthnot for current one month period PUNCT 
ham,was actually sleeping and still might when u call back so a text is gr8 you rock sis will send u a text wen i wake
ham,you are always putting your business out there you put pictures of your ass on facebook you are one of the most open people i ve ever met why would i think a picture of your room would hurt you make you feel violated
ham,good evening sir al salam wahleykkumsharing a happy newsBy the grace of god i got an offer from tayseer TISSCO and i joinedHope you are fineInshah allah meet you sometimeRakhesh visitor from india
ham,hmmm PUNCT k PUNCT but i want to change the field quickly da i wanna get system administrator or network administrator PUNCT 
spam,FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone help 0845 2814032 16 after 1st free tones are 3xå 150pw to eå nd txt stop
ham,dear how is chechi did you talk to her
ham,the hair cream has not been shipped
ham,none of that s happening til you get here though
ham,yep the great loxahatchee xmas tree burning of lt gt starts in an hour
ham,haha get used to driving to usf man I know a lot of stoners
ham,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always
ham,hello good week fancy a drink or something later
ham,headin towards busetop
ham,message some text missing sender name missing number missing sent date missing missing U a lot thats y everything is missing sent via fullonsmscom
ham,come by our room at some point so we can iron out the plan for this weekend
ham,cos i want it to be your thing
ham,okies PUNCT I ll go yan jiu too PUNCT we can skip ard oso go cine den go mrt one blah blah blah PUNCT 
ham,bring home some wendy D
spam,100 dating service cal l 09064012103 box334sk38ch
